Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y
EXOC3,664439624.005272,391075847.01776284,1154539697.7158527,298003547.7440118,46908869.6500253,277513674.45656693,213889837.53686282
EXOC4,629994484.1487283,540257842.7314875,629922681.665419,952446987.9202884,799278161.3157024,739108872.8061583,409703819.95222235
EXOC5,465446093.4342467,400842507.1040562,518335575.16943806,28625818.40524863,60318761.213110596,394002131.8553822,60318761.213110596
EXOC6,71524554.30632287,54822060.51638655,76113544.2911915,293535603.0981211,31236290.474894136,175188556.7064838,31236290.474894136
EXOC6B,212044813.63647774,132524501.56924966,263637988.61583692,185137343.99863848,49033391.88419485,245428594.1571598,49033391.88419485
EXOC7,595147977.7504685,437275341.9734964,593060748.5417378,185494850.5759923,724638462.5391519,456721359.1386911,51163280.98284008
EXOC8,478660970.14588714,348478291.7037686,334708574.5208524,469309998.5900899,42252875.08139769,468648527.8180082,42252875.08139769
EXOG,47065025.73013477,28615337.77632156,52529659.754887775,35792431.873016894,35792431.873016894,35792431.873016894,35792431.873016894
EXTL3,10342794.163872564,10342794.163872564,10342794.163872564,10022990.155558398,10022990.155558398,10022990.155558398,10022990.155558398
EZR,4616625926.54896,3328734281.614807,3288229986.479692,3953122193.8024635,4040996895.5409837,2565394951.8232617,2603521032.7014017
F13A1,56053228.99333498,52166920.60160416,60756647.11490379,25121858.459593683,25121858.459593683,25121858.459593683,541116417.3138014
F2,35731525.7754145,9516424.24997604,55026071.41826602,12861590.293556336,12861590.293556336,12861590.293556336,12861590.293556336
F3,121735579.14462443,116603408.81802647,130766175.98980984,57427361.33067702,57427361.33067702,57427361.33067702,57427361.33067702
F8A1,7950529.903763593,153224178.57305637,132295243.534679,17405110.78298984,17405110.78298984,17405110.78298984,17405110.78298984
FA2H,10316092.594618445,10316092.594618445,10316092.594618445,9948470.186687954,9948470.186687954,9948470.186687954,9948470.186687954
FAAH,172199237.8324887,178724945.53894997,94782187.61747693,33311593.562501438,33311593.562501438,33311593.562501438,33311593.562501438
FABP1,9371565.29255121,9371565.29255121,9371565.29255121,10267623.606520098,10267623.606520098,10267623.606520098,261515861.20046455
FABP3,12600291497.97741,9524547843.879904,10629851337.675537,8427507806.785181,9303148290.765589,7414563494.389506,5243560354.603751
FABP5,12627922124.058794,6190913741.570561,7260653170.21274,5796519704.104059,7171230814.409507,4465595144.183896,3920894035.577746
FABP6,72003901.82729226,60560714.700499244,9312121.223303383,20519661.721363246,20519661.721363246,20519661.721363246,20519661.721363246
FABP7,8689863999.762428,5749877168.608378,5331024065.044443,4090323175.775014,3183304684.0944815,2446716106.4806294,4828602849.10417
FADS2,44153558.53694614,7912137.16328824,32285438.5402579,21795446.406083997,21795446.406083997,21795446.406083997,21795446.406083997
FAF1,232692209.03572497,154429377.02999535,260220394.89955974,151191763.09144288,29287148.46638141,181344398.82810304,29287148.46638141
FAF2,143334926.32944718,288138662.1644691,43716371.125281334,50592337.39194878,50592337.39194878,50592337.39194878,50592337.39194878
FAH,235334573.42727342,263353796.6733432,157582294.6460488,350978800.09548444,308995262.4327806,344276033.0284479,380749491.6772187
FAHD1,815424106.1881704,623464984.0224218,575100658.8011928,932613486.3166444,438518895.52226037,960546080.2623932,841460179.0367261
FAHD2A,801687639.8629861,867381165.1965579,999058271.9361094,769412759.2853394,884514827.3559378,875385306.8483202,391807362.4855258
FAHD2B,10339302.547783775,10339302.547783775,10339302.547783775,10809431.160964642,10809431.160964642,10809431.160964642,10809431.160964642
FAIM2,48952861.1771195,231254085.58751705,178685970.75370598,156152035.07083586,144779474.58174723,173518068.05051214,78802177.19313635
FAM107A,10106214.276343059,10106214.276343059,10106214.276343059,11075995.601333665,11075995.601333665,11075995.601333665,11075995.601333665
FAM107B,25326715.040558748,9616691.286118576,131150758.54792681,13129971.14905295,13129971.14905295,13129971.14905295,13129971.14905295
FAM114A2,89513478.53708802,96905226.52641948,84753769.35525249,31292698.284782864,31292698.284782864,212042593.569771,31292698.284782864
FAM115A,27327041.14239549,126135141.22903527,8523034.42921556,14306991.864591226,14306991.864591226,14306991.864591226,14306991.864591226
FAM120A,595404121.7883167,548730790.3672327,305773959.77350503,591594346.9606066,40529080.5527215,476440991.97861403,40529080.5527215
FAM120B,10510461.138819255,10510461.138819255,10510461.138819255,10510305.605917873,10510305.605917873,10510305.605917873,10510305.605917873
FAM120C,9115015.195559356,9115015.195559356,9115015.195559356,12656827.117083961,12656827.117083961,12656827.117083961,12656827.117083961
FAM126A,20759277.46522055,10063821.39399201,10063821.39399201,9630821.617205765,9630821.617205765,9630821.617205765,9630821.617205765
FAM126B,148573953.57483512,455073713.80893594,335046776.78897244,371086058.20143765,31140078.8633776,380464544.7811159,324735916.5758214
FAM127A,111367219.70853023,144427988.52793396,2265069.5997301647,165453092.87619078,26807190.939376935,26807190.939376935,26807190.939376935
FAM129B,22888307.355118092,9118538.035811841,9118538.035811841,13372108.325775202,13372108.325775202,13372108.325775202,13372108.325775202
FAM131B,10835770.01930014,10835770.01930014,10835770.01930014,10684312.546924578,89198656.55516987,10684312.546924578,10684312.546924578
